cod_cliente;Escolaridade;Tem Filhos;Salário;Idade;Estado Civil;Profissão;Número de Cartões de Crédito;cod_estado
1676;Fundamental;Sim;4217.92;48.3;Viúvo;Outros;3;4
1677;Pós-Graduação;Sim;6301.73;55.09;Viúvo;Empresário;1;11
1678;Pós-Graduação;Sim;8533.29;55.47;Viúvo;Outros;0;6
1679;Médio;Não;2328.32;22.4;Casado;Estudante;2;23
1680;Pós-Graduação;Não;5021.33;26.39;Viúvo;Estudante;0;15
1681;Pós-Graduação;Não;9343.05;75.46;Casado;Professor;1;26
1682;Superior;Sim;6064.52;21.73;Casado;Empresário;3;8
1683;Pós-Graduação;Não;8361.95;67.16;Casado;Outros;1;19
1684;Superior;Não;7239.04;70.24;Casado;Médico;0;5
1685;Superior;Sim;1142.96;49.67;Viúvo;Estudante;0;1
1686;Superior;Sim;9808.45;50.9;Viúvo;Advogado;2;8
1687;Superior;Sim;5117.68;63.17;Divorciado;Artista;0;13
1688;Superior;Sim;4335.53;66.8;Divorciado;Estudante;2;2
1689;Superior;Sim;5768.21;73.06;Viúvo;Engenheiro;0;10
1690;Superior;Sim;2947.43;33.27;Solteiro;Estudante;2;20
1691;Pós-Graduação;Não;9786.25;29.2;Casado;Empresário;1;20
1692;Médio;Não;5905.8;66.04;Viúvo;Professor;2;21
1693;Médio;Sim;1227.15;42.47;Solteiro;Advogado;1;23
1694;Fundamental;Não;9483.86;54.94;Viúvo;Advogado;0;1
1695;Médio;Não;3732.0;77.8;Viúvo;Advogado;3;4
1696;Superior;Não;6257.21;45.88;Viúvo;Professor;2;27
1697;Fundamental;Sim;6255.3;55.61;Divorciado;Advogado;0;1
1698;Pós-Graduação;Sim;4950.04;34.84;Divorciado;Estudante;2;11
1699;Superior;Não;8898.74;29.41;Solteiro;Professor;3;11
1700;Fundamental;Sim;2589.56;48.02;Solteiro;Professor;0;10
1701;Superior;Não;1761.04;79.18;Solteiro;Estudante;0;5
1702;Superior;Não;4205.39;34.98;Casado;Empresário;0;2
1703;Fundamental;Sim;1225.0;71.23;Solteiro;Engenheiro;2;8
1704;Superior;Não;7191.13;22.79;Casado;Artista;2;9
1705;Médio;Não;1877.46;31.13;Casado;Outros;0;18
1706;Superior;Não;6154.29;42.61;Solteiro;Artista;0;24
1707;Superior;Sim;9675.2;64.41;Casado;Artista;1;5
1708;Fundamental;Não;2571.63;55.08;Solteiro;Artista;0;24
1709;Pós-Graduação;Não;5963.24;34.15;Casado;Empresário;3;22
1710;Superior;Sim;1621.75;72.13;Solteiro;Professor;3;27
1711;Fundamental;Sim;8738.92;37.91;Solteiro;Outros;1;19
1712;Superior;Não;8447.43;77.5;Casado;Outros;3;3
1713;Médio;Não;3695.38;44.76;Solteiro;Artista;1;1
1714;Pós-Graduação;Não;4532.88;69.31;Casado;Professor;1;6
1715;Fundamental;Não;9166.87;46.3;Casado;Outros;3;20
1716;Fundamental;Sim;8072.9;60.13;Casado;Artista;0;20
1717;Pós-Graduação;Não;9725.53;67.16;Casado;Professor;3;21
1718;Fundamental;Não;8950.36;31.79;Divorciado;Empresário;3;27
1719;Superior;Não;7877.89;69.38;Solteiro;Empresário;3;3
1720;Médio;Sim;1567.51;47.22;Solteiro;Outros;2;22
1721;Médio;Não;4056.92;44.43;Solteiro;Artista;3;17
1722;Médio;Sim;8920.57;32.48;Divorciado;Professor;1;8
1723;Superior;Sim;5834.04;39.75;Solteiro;Engenheiro;2;18
1724;Pós-Graduação;Sim;5573.97;67.5;Casado;Artista;3;20
1725;Fundamental;Sim;7480.42;38.27;Solteiro;Engenheiro;0;4
1726;Superior;Não;3692.37;29.33;Viúvo;Professor;0;24
1727;Fundamental;Não;4872.48;37.66;Casado;Professor;2;23
1728;Fundamental;Não;4914.01;78.54;Casado;Empresário;0;16
1729;Pós-Graduação;Não;8373.6;18.12;Viúvo;Artista;2;21
1730;Superior;Não;9322.09;49.94;Divorciado;Outros;3;3
1731;Pós-Graduação;Sim;9321.18;21.35;Viúvo;Engenheiro;3;22
1732;Fundamental;Não;2622.46;26.1;Viúvo;Professor;3;2
1733;Pós-Graduação;Não;1397.91;32.98;Divorciado;Professor;2;19
1734;Médio;Não;7126.5;51.3;Casado;Outros;1;22
1735;Superior;Sim;8476.57;25.98;Divorciado;Engenheiro;1;17
1736;Médio;Sim;2461.57;50.94;Viúvo;Advogado;1;3
1737;Superior;Sim;6878.19;49.1;Divorciado;Outros;1;9
1738;Fundamental;Sim;9052.4;66.4;Viúvo;Outros;2;15
1739;Superior;Sim;3703.14;51.44;Solteiro;Outros;3;13
1740;Pós-Graduação;Não;1415.46;78.63;Divorciado;Outros;2;10
1741;Pós-Graduação;Não;1694.15;60.45;Divorciado;Médico;3;26
1742;Médio;Não;5268.51;41.59;Casado;Professor;3;7
1743;Superior;Sim;5911.43;21.09;Solteiro;Engenheiro;3;7
1744;Médio;Não;7198.98;73.32;Divorciado;Artista;3;18
1745;Fundamental;Sim;7226.65;19.6;Divorciado;Outros;0;19
1746;Superior;Sim;4317.28;56.77;Solteiro;Médico;1;21
1747;Superior;Sim;8560.53;31.55;Viúvo;Outros;2;7
1748;Superior;Não;7408.88;47.22;Viúvo;Médico;2;16
1749;Superior;Não;2869.28;20.43;Solteiro;Artista;2;8
1750;Médio;Sim;7678.9;33.17;Casado;Estudante;0;23
1751;Superior;Sim;3061.44;21.86;Viúvo;Estudante;0;12
1752;Fundamental;Sim;2819.69;31.65;Viúvo;Advogado;1;13
1753;Médio;Não;1196.24;43.06;Solteiro;Outros;2;6
1754;Pós-Graduação;Não;6705.08;70.15;Viúvo;Outros;2;26
1755;Fundamental;Sim;5738.58;36.56;Solteiro;Artista;3;7
1756;Superior;Sim;4984.27;19.62;Viúvo;Outros;3;8
1757;Médio;Sim;6254.61;74.2;Solteiro;Advogado;3;8
1758;Fundamental;Sim;9883.22;42.52;Casado;Estudante;2;15
1759;Pós-Graduação;Sim;3742.5;70.26;Viúvo;Engenheiro;2;7
1760;Fundamental;Sim;7472.26;69.07;Solteiro;Outros;3;12
1761;Pós-Graduação;Não;4017.28;41.03;Viúvo;Empresário;3;11
1762;Fundamental;Sim;4956.7;71.89;Casado;Médico;3;13
1763;Médio;Não;6643.02;79.91;Solteiro;Artista;3;10
1764;Pós-Graduação;Sim;4367.65;57.33;Solteiro;Empresário;3;22
1765;Pós-Graduação;Sim;7347.6;47.44;Solteiro;Engenheiro;3;9
1766;Fundamental;Não;1208.98;64.0;Divorciado;Artista;1;23
1767;Fundamental;Não;5394.46;51.48;Solteiro;Advogado;2;11
1768;Médio;Sim;6077.65;49.28;Divorciado;Estudante;1;20
1769;Superior;Não;4387.16;20.87;Viúvo;Advogado;3;17
1770;Superior;Sim;7901.28;49.21;Casado;Professor;0;21
1771;Pós-Graduação;Sim;9586.15;69.91;Viúvo;Estudante;2;4
1772;Fundamental;Não;7468.3;78.61;Divorciado;Engenheiro;3;4
1773;Médio;Sim;2611.44;31.35;Viúvo;Engenheiro;1;8
1774;Pós-Graduação;Sim;1347.21;32.28;Divorciado;Empresário;0;15
1775;Pós-Graduação;Sim;6083.35;30.37;Solteiro;Médico;0;24
1776;Pós-Graduação;Não;3694.75;39.22;Solteiro;Médico;3;8
1777;Pós-Graduação;Não;1951.88;57.47;Solteiro;Empresário;2;8
1778;Médio;Não;2800.58;75.25;Casado;Professor;1;7
1779;Pós-Graduação;Não;1819.07;55.09;Divorciado;Engenheiro;3;18
1780;Superior;Não;4328.5;65.27;Divorciado;Artista;1;2
1781;Pós-Graduação;Sim;9189.82;45.13;Viúvo;Estudante;2;13
1782;Pós-Graduação;Sim;7725.72;56.9;Viúvo;Professor;0;20
1783;Fundamental;Não;5186.93;56.84;Solteiro;Engenheiro;0;22
1784;Pós-Graduação;Não;6124.51;31.64;Casado;Artista;1;16
1785;Pós-Graduação;Sim;6495.71;25.8;Divorciado;Médico;1;18
1786;Superior;Sim;7618.36;77.44;Casado;Outros;2;6
1787;Médio;Sim;7840.24;72.34;Solteiro;Professor;1;12
1788;Médio;Sim;2491.59;44.44;Viúvo;Empresário;2;20
1789;Pós-Graduação;Sim;2268.2;70.03;Solteiro;Professor;1;2
1790;Pós-Graduação;Não;5258.19;24.32;Casado;Advogado;3;5
1791;Pós-Graduação;Não;9573.64;37.34;Viúvo;Médico;3;13
1792;Superior;Sim;8949.56;33.47;Viúvo;Médico;2;14
1793;Fundamental;Não;2499.04;74.42;Viúvo;Empresário;1;3
1794;Pós-Graduação;Sim;6120.6;66.34;Solteiro;Engenheiro;3;14
1795;Superior;Sim;4557.28;27.18;Viúvo;Artista;3;23
1796;Pós-Graduação;Sim;9544.13;22.33;Solteiro;Estudante;0;7
1797;Fundamental;Sim;5335.06;47.77;Casado;Advogado;2;18
1798;Superior;Não;5349.97;75.72;Solteiro;Engenheiro;2;21
1799;Pós-Graduação;Sim;1341.66;32.87;Casado;Empresário;1;9
1800;Fundamental;Não;5567.4;71.45;Viúvo;Empresário;2;22
1801;Superior;Não;1249.15;59.32;Casado;Médico;1;27
1802;Fundamental;Não;1116.09;38.82;Viúvo;Advogado;1;16
1803;Fundamental;Sim;5358.27;30.21;Casado;Artista;2;9
1804;Fundamental;Sim;6961.39;19.73;Casado;Estudante;0;2
1805;Fundamental;Sim;2723.01;31.51;Solteiro;Estudante;3;15
1806;Superior;Sim;2110.36;70.53;Solteiro;Médico;1;19
1807;Médio;Sim;8921.28;30.86;Divorciado;Outros;1;10
1808;Médio;Sim;7000.79;38.66;Viúvo;Professor;1;1
1809;Fundamental;Sim;4275.67;46.08;Divorciado;Advogado;3;5
1810;Médio;Não;6497.85;69.38;Viúvo;Professor;3;9
1811;Fundamental;Não;4460.08;20.87;Viúvo;Outros;1;26
1812;Médio;Sim;1044.36;69.86;Casado;Artista;0;2
1813;Pós-Graduação;Não;1113.54;19.21;Solteiro;Advogado;0;2
1814;Fundamental;Sim;6454.25;59.74;Solteiro;Empresário;1;10
1815;Pós-Graduação;Não;8903.67;41.49;Casado;Médico;3;24
1816;Superior;Não;6239.25;52.74;Divorciado;Outros;0;26
1817;Fundamental;Sim;9376.66;44.08;Divorciado;Estudante;1;11
1818;Fundamental;Sim;8506.3;46.12;Viúvo;Outros;3;1
1819;Superior;Não;8843.16;78.3;Solteiro;Médico;3;8
1820;Pós-Graduação;Não;5679.0;19.13;Casado;Médico;2;24
1821;Médio;Não;9478.02;19.02;Solteiro;Estudante;3;22
1822;Fundamental;Sim;6361.74;74.84;Casado;Outros;1;4
1823;Fundamental;Sim;3124.42;20.29;Viúvo;Estudante;0;18
1824;Médio;Não;3172.31;20.32;Casado;Advogado;3;13
1825;Fundamental;Sim;8628.91;76.94;Viúvo;Médico;0;9
1826;Superior;Não;1197.21;58.68;Divorciado;Professor;3;19
1827;Médio;Sim;7237.72;70.29;Viúvo;Artista;1;23
1828;Fundamental;Não;1053.1;40.9;Divorciado;Artista;2;23
1829;Superior;Não;9899.41;21.8;Solteiro;Professor;1;19
1830;Fundamental;Sim;2379.71;53.55;Solteiro;Artista;0;16
1831;Médio;Não;2869.59;45.52;Solteiro;Estudante;2;4
1832;Superior;Não;7234.62;71.54;Divorciado;Professor;3;23
1833;Fundamental;Não;8761.57;43.47;Divorciado;Engenheiro;0;17
1834;Superior;Sim;4102.02;70.55;Casado;Estudante;0;20
1835;Pós-Graduação;Sim;7633.43;60.94;Solteiro;Engenheiro;0;7
1836;Fundamental;Sim;6344.17;18.32;Casado;Artista;3;6
1837;Fundamental;Sim;2539.74;55.47;Solteiro;Médico;1;12
1838;Médio;Sim;6678.99;73.19;Viúvo;Médico;1;12
1839;Superior;Não;4074.34;70.59;Casado;Artista;1;23
1840;Pós-Graduação;Sim;7313.43;35.55;Divorciado;Advogado;2;21
1841;Pós-Graduação;Não;3918.93;73.41;Viúvo;Professor;2;11
1842;Pós-Graduação;Não;1749.63;70.01;Divorciado;Artista;0;5
1843;Médio;Sim;1449.6;65.44;Casado;Advogado;1;24
1844;Fundamental;Não;5367.23;29.76;Solteiro;Empresário;2;15
1845;Superior;Sim;8954.82;24.14;Divorciado;Advogado;0;18
1846;Fundamental;Não;9423.14;76.29;Solteiro;Engenheiro;2;14
1847;Médio;Sim;3606.85;45.64;Solteiro;Outros;3;1
1848;Médio;Não;1484.61;70.34;Solteiro;Artista;2;26
1849;Superior;Sim;9690.55;47.58;Casado;Médico;2;5
1850;Fundamental;Sim;2127.7;51.19;Divorciado;Médico;2;25
1851;Médio;Não;8238.74;63.77;Casado;Advogado;2;7
1852;Fundamental;Não;1357.9;18.33;Solteiro;Médico;3;4
1853;Pós-Graduação;Não;4274.55;54.92;Divorciado;Estudante;0;20
1854;Pós-Graduação;Sim;1040.16;68.06;Solteiro;Advogado;2;22
1855;Pós-Graduação;Não;6634.39;48.49;Viúvo;Estudante;3;2
1856;Médio;Não;4752.05;73.58;Casado;Advogado;0;9
1857;Pós-Graduação;Sim;9133.99;73.71;Casado;Artista;3;20
1858;Superior;Não;8804.43;75.45;Viúvo;Artista;2;12
1859;Superior;Sim;3220.69;31.06;Solteiro;Artista;1;27
1860;Pós-Graduação;Sim;2394.25;54.38;Divorciado;Empresário;2;3
1861;Superior;Não;6726.95;38.44;Casado;Engenheiro;0;18
1862;Médio;Sim;7570.28;25.9;Solteiro;Engenheiro;1;1
1863;Pós-Graduação;Não;7464.17;46.89;Solteiro;Artista;0;6
1864;Médio;Sim;;58.71;Divorciado;Outros;1;26
1865;Pós-Graduação;Sim;3004.58;35.47;Casado;Engenheiro;3;14
1866;Superior;Sim;;58.95;Solteiro;Médico;1;23
1867;Pós-Graduação;Não;9191.86;60.04;Viúvo;Artista;3;25
1868;Superior;Sim;1070.7;42.04;Viúvo;Outros;2;19
1869;Superior;Sim;7660.71;60.09;Viúvo;Estudante;0;25
1870;Fundamental;Sim;7833.18;75.76;Viúvo;Médico;2;22
1871;Pós-Graduação;Sim;;34.98;Casado;Engenheiro;2;11
1872;Superior;Não;2701.29;30.36;Solteiro;Professor;1;13
1873;Superior;Não;3668.68;37.11;Solteiro;Advogado;1;9
1874;Superior;Sim;;30.66;Viúvo;Artista;1;22
1875;Pós-Graduação;Sim;8195.18;43.59;Divorciado;Artista;3;17
1876;Médio;Não;6580.12;57.45;Viúvo;Professor;1;12
1877;Médio;Não;2273.95;19.82;Divorciado;Engenheiro;1;21
1878;Fundamental;Sim;4133.9;76.26;Casado;Advogado;1;25
1879;Pós-Graduação;Sim;2408.61;78.01;Divorciado;Outros;3;27
1880;Fundamental;Não;7769.09;73.58;Solteiro;Professor;3;1
1881;Médio;Não;4205.32;18.83;Divorciado;Estudante;0;8
1882;Médio;Sim;6055.05;24.17;Viúvo;Médico;3;12
1883;Médio;Sim;8581.61;53.71;Casado;Outros;2;2
1884;Pós-Graduação;Sim;6454.56;75.23;Viúvo;Médico;2;23
1885;Superior;Sim;3775.84;22.69;Casado;Estudante;2;27
1886;Médio;Não;5950.61;24.87;Casado;Artista;1;22
1887;Pós-Graduação;Sim;7359.45;67.63;Solteiro;Artista;1;14
1888;Superior;Sim;8459.97;48.32;Casado;Professor;2;10
1889;Superior;Não;3842.13;27.63;Divorciado;Advogado;3;9
1890;Pós-Graduação;Sim;9745.56;36.95;Viúvo;Engenheiro;2;4
1891;Superior;Não;4862.87;33.89;Casado;Estudante;0;20
1892;Médio;Não;5109.07;49.38;Viúvo;Professor;3;6
1893;Pós-Graduação;Não;2513.87;24.04;Viúvo;Médico;2;3
1894;Superior;Sim;1808.53;77.93;Viúvo;Professor;2;13
1895;Pós-Graduação;Sim;3461.71;44.8;Viúvo;Advogado;3;12
1896;Fundamental;Não;8335.27;74.15;Viúvo;Empresário;1;20
1897;Superior;Sim;9487.01;50.7;Viúvo;Estudante;0;6
1898;Fundamental;Não;7554.96;21.06;Divorciado;Advogado;3;19
1899;Médio;Sim;9815.49;66.54;Casado;Empresário;2;11
1900;Médio;Sim;1818.97;76.16;Solteiro;Outros;2;22
1901;Fundamental;Sim;5965.67;29.28;Solteiro;Médico;3;19
1902;Médio;Sim;2902.42;79.03;Solteiro;Outros;1;13
1903;Médio;Sim;3451.27;65.62;Solteiro;Empresário;3;19
1904;Médio;Não;8577.03;40.44;Divorciado;Advogado;1;6
1905;Pós-Graduação;Não;4292.46;28.72;Solteiro;Médico;3;2
1906;Fundamental;Sim;1864.73;67.41;Solteiro;Empresário;2;19
1907;Pós-Graduação;Sim;9937.26;19.64;Casado;Médico;1;15
1908;Fundamental;Sim;9133.42;62.85;Viúvo;Outros;3;17
1909;Pós-Graduação;Não;3415.89;58.44;Solteiro;Outros;2;17
1910;Superior;Não;7150.12;40.37;Casado;Professor;0;13
1911;Médio;Sim;4576.59;24.9;Solteiro;Advogado;1;27
1912;Superior;Não;2896.24;59.29;Viúvo;Empresário;2;6
1913;Fundamental;Não;6102.68;53.77;Divorciado;Estudante;0;2
1914;Superior;Não;1422.17;55.37;Viúvo;Outros;3;22
1915;Superior;Não;1694.87;32.3;Viúvo;Estudante;0;1
1916;Médio;Não;5063.7;55.44;Divorciado;Outros;1;13
1917;Superior;Não;4556.89;78.18;Viúvo;Médico;1;8
1918;Fundamental;Não;2567.72;69.58;Solteiro;Artista;1;24
1919;Pós-Graduação;Não;6545.37;22.11;Divorciado;Outros;0;20
1920;Superior;Não;5016.88;21.01;Viúvo;Engenheiro;3;2
1921;Superior;Não;7740.22;70.5;Viúvo;Advogado;0;23
1922;Superior;Sim;2742.91;73.69;Casado;Artista;0;13
1923;Médio;Sim;4703.21;28.35;Divorciado;Empresário;0;21
1924;Pós-Graduação;Sim;5580.94;27.31;Casado;Engenheiro;2;10
1925;Fundamental;Sim;9786.48;31.47;Casado;Outros;3;17
1926;Superior;Sim;6412.26;30.83;Casado;Médico;1;5
1927;Médio;Sim;;19.48;Divorciado;Empresário;2;23
1928;Médio;Não;7174.08;27.24;Casado;Engenheiro;2;21
1929;Superior;Sim;2143.95;51.43;Viúvo;Médico;0;6
1930;Fundamental;Não;5512.28;52.99;Casado;Professor;1;8
1931;Fundamental;Não;6095.0;18.34;Divorciado;Outros;0;15
1932;Pós-Graduação;Sim;8110.68;73.07;Divorciado;Estudante;1;23
1933;Pós-Graduação;Não;2461.01;52.64;Viúvo;Médico;2;26
1934;Superior;Sim;3335.94;50.87;Casado;Professor;1;16
1935;Médio;Sim;6869.12;74.19;Viúvo;Advogado;0;19
1936;Médio;Não;8845.77;24.82;Divorciado;Engenheiro;3;18
1937;Médio;Não;4110.94;62.02;Viúvo;Artista;2;5
1938;Pós-Graduação;Não;6168.14;68.18;Casado;Outros;2;23
1939;Fundamental;Sim;2730.56;76.32;Divorciado;Artista;1;11
1940;Fundamental;Não;9352.93;50.58;Viúvo;Engenheiro;3;22
1941;Médio;Sim;6452.13;56.69;Casado;Médico;3;18
1942;Pós-Graduação;Não;9783.44;63.13;Divorciado;Médico;3;18
1943;Pós-Graduação;Não;3279.41;62.46;Viúvo;Estudante;2;7
1944;Superior;Sim;7376.99;47.54;Casado;Advogado;2;25
1945;Fundamental;Sim;;60.64;Casado;Artista;2;10
1946;Médio;Sim;3092.36;27.36;Divorciado;Outros;0;26
1947;Pós-Graduação;Não;9073.59;55.11;Viúvo;Outros;0;9
1948;Fundamental;Não;9328.36;19.01;Divorciado;Engenheiro;1;10
1949;Superior;Não;2593.57;21.62;Casado;Professor;2;7
1950;Médio;Sim;6374.55;61.9;Divorciado;Empresário;3;26
1951;Superior;Sim;8000.98;26.16;Divorciado;Advogado;3;11
1952;Pós-Graduação;Não;;37.38;Solteiro;Estudante;3;21
1953;Médio;Não;5469.88;77.8;Solteiro;Empresário;3;13
1954;Pós-Graduação;Não;5949.55;65.61;Viúvo;Empresário;0;19
1955;Médio;Não;3256.45;22.17;Divorciado;Engenheiro;1;12
1956;Médio;Sim;3043.92;22.21;Solteiro;Artista;0;21
1957;Superior;Não;6362.81;40.64;Solteiro;Outros;0;12
1958;Fundamental;Não;9053.01;42.44;Viúvo;Estudante;0;1
1959;Fundamental;Não;2763.3;42.36;Solteiro;Professor;2;20
1960;Superior;Não;2156.35;60.68;Divorciado;Artista;2;16
1961;Fundamental;Não;;63.61;Solteiro;Engenheiro;0;2
1962;Fundamental;Sim;5780.77;35.83;Viúvo;Empresário;0;13
1963;Pós-Graduação;Não;9126.02;31.4;Casado;Professor;2;7
1964;Superior;Sim;4296.18;41.45;Casado;Engenheiro;2;16
1965;Fundamental;Não;5242.02;33.87;Viúvo;Empresário;0;18
1966;Fundamental;Sim;6795.68;62.39;Solteiro;Outros;2;24
1967;Fundamental;Sim;9607.6;38.22;Casado;Outros;2;3
1968;Médio;Não;8570.86;73.0;Viúvo;Empresário;2;12
1969;Pós-Graduação;Não;2257.39;54.89;Divorciado;Médico;1;3
1970;Médio;Sim;7831.93;44.67;Casado;Outros;1;10
1971;Pós-Graduação;Sim;4404.99;38.62;Casado;Médico;1;11
1972;Superior;Sim;2780.87;21.67;Divorciado;Advogado;2;21
1973;Médio;Não;4767.91;33.33;Casado;Empresário;1;26
1974;Superior;Sim;6797.32;28.35;Casado;Estudante;0;25
1975;Fundamental;Não;3124.1;31.35;Solteiro;Artista;1;1
1976;Superior;Não;4653.9;56.07;Divorciado;Advogado;1;24
1977;Superior;Sim;7827.94;34.91;Solteiro;Médico;3;26
1978;Fundamental;Não;2428.48;78.4;Viúvo;Advogado;3;2
1979;Médio;Não;5789.16;74.7;Viúvo;Advogado;1;19
1980;Superior;Não;4416.09;76.19;Casado;Engenheiro;0;21
1981;Fundamental;Não;8411.05;40.57;Viúvo;Engenheiro;3;17
1982;Pós-Graduação;Sim;3872.8;48.62;Divorciado;Estudante;3;25
1983;Médio;Não;7422.59;79.14;Casado;Empresário;2;20
1984;Superior;Sim;9701.44;53.6;Divorciado;Estudante;1;15
1985;Médio;Sim;5515.01;22.91;Casado;Artista;2;3
1986;Fundamental;Não;6303.58;51.46;Solteiro;Engenheiro;0;10
1987;Pós-Graduação;Não;2565.02;65.09;Casado;Professor;1;7
1988;Superior;Sim;2474.34;38.82;Viúvo;Estudante;3;8
1989;Médio;Não;4458.81;22.86;Solteiro;Professor;3;5
1990;Médio;Sim;4122.3;18.18;Solteiro;Estudante;2;3
1991;Médio;Não;2333.53;55.79;Viúvo;Professor;1;7
1992;Pós-Graduação;Sim;8777.6;74.21;Viúvo;Médico;3;14
1993;Fundamental;Sim;8298.6;72.38;Solteiro;Outros;0;3
1994;Superior;Sim;1553.3;40.84;Solteiro;Estudante;0;13
1995;Fundamental;Não;9974.02;36.09;Solteiro;Estudante;3;23
1996;Pós-Graduação;Não;5886.57;47.66;Viúvo;Empresário;3;13
1997;Fundamental;Sim;1907.18;46.19;Divorciado;Outros;2;19
1998;Pós-Graduação;Não;7135.38;61.03;Casado;Professor;1;12
1999;Fundamental;Não;3995.85;26.11;Solteiro;Outros;3;7
2000;Médio;Não;2259.84;29.15;Casado;Professor;2;12
2001;Pós-Graduação;Não;7965.62;44.6;Divorciado;Advogado;0;7
2002;Médio;Sim;4441.3;51.98;Divorciado;Outros;2;19
2003;Fundamental;Sim;4358.69;63.71;Divorciado;Professor;0;27
2004;Superior;Sim;3879.93;47.66;Viúvo;Outros;0;3
2005;Pós-Graduação;Não;6717.92;54.8;Viúvo;Engenheiro;3;11
2006;Superior;Não;4071.31;72.49;Divorciado;Empresário;0;24
2007;Médio;Sim;3388.6;36.68;Casado;Engenheiro;0;11
2008;Superior;Não;9413.31;31.65;Divorciado;Artista;1;18
2009;Superior;Não;2193.45;50.5;Divorciado;Engenheiro;2;1
2010;Superior;Sim;9654.65;56.02;Solteiro;Estudante;1;16
2011;Médio;Sim;3917.27;53.31;Solteiro;Engenheiro;1;15
2012;Superior;Não;1170.17;58.06;Solteiro;Artista;3;24
2013;Médio;Não;9414.17;34.08;Casado;Artista;3;20
2014;Fundamental;Não;5292.25;79.57;Viúvo;Advogado;3;21
2015;Pós-Graduação;Sim;7799.37;56.77;Solteiro;Estudante;1;23
2016;Fundamental;Sim;1432.19;37.4;Divorciado;Professor;3;19
2017;Médio;Sim;6972.07;20.36;Casado;Advogado;0;4
2018;Pós-Graduação;Sim;2070.94;53.59;Divorciado;Médico;3;11
2019;Fundamental;Não;5048.0;59.56;Casado;Artista;3;21
2020;Fundamental;Não;4948.64;27.88;Divorciado;Empresário;0;21
2021;Superior;Não;2444.16;62.79;Casado;Empresário;2;7
2022;Superior;Sim;9510.94;41.05;Casado;Empresário;2;24
2023;Pós-Graduação;Não;4258.26;78.26;Solteiro;Empresário;2;12
2024;Médio;Não;2926.87;64.77;Viúvo;Empresário;3;22
2025;Médio;Sim;2216.94;48.17;Casado;Estudante;1;20
2026;Fundamental;Não;1629.71;27.85;Divorciado;Empresário;2;22
2027;Médio;Sim;1884.18;79.38;Solteiro;Advogado;1;12
2028;Médio;Não;3874.8;19.39;Viúvo;Advogado;2;23
2029;Pós-Graduação;Não;5213.36;52.01;Solteiro;Empresário;1;2
2030;Médio;Sim;6247.18;35.69;Solteiro;Médico;2;12
2031;Fundamental;Sim;6171.38;21.75;Solteiro;Engenheiro;0;13
2032;Médio;Não;6636.81;49.67;Divorciado;Professor;3;15
2033;Médio;Não;2971.72;71.59;Casado;Engenheiro;2;14
2034;Médio;Sim;7625.1;71.66;Divorciado;Médico;2;19
2035;Médio;Não;1427.38;46.42;Divorciado;Artista;1;15
2036;Superior;Não;9268.44;25.58;Divorciado;Professor;2;27
2037;Médio;Sim;6232.97;34.12;Viúvo;Outros;2;4
2038;Médio;Sim;7750.23;39.91;Casado;Médico;0;1
2039;Fundamental;Não;6179.96;29.64;Casado;Médico;0;4
2040;Superior;Não;1602.23;61.89;Divorciado;Estudante;2;15
2041;Fundamental;Sim;2774.22;62.25;Divorciado;Professor;1;21
2042;Fundamental;Não;5593.28;38.3;Viúvo;Professor;0;12
2043;Médio;Não;4199.31;45.25;Viúvo;Professor;0;2
2044;Pós-Graduação;Sim;9993.98;57.5;Viúvo;Empresário;0;25
2045;Fundamental;Não;3865.85;69.46;Solteiro;Outros;2;27
2046;Superior;Não;3308.36;24.96;Casado;Empresário;2;24
2047;Fundamental;Não;7538.06;54.75;Solteiro;Advogado;3;24
2048;Médio;Sim;5751.03;60.53;Solteiro;Professor;2;27
2049;Superior;Não;1710.88;20.34;Casado;Advogado;3;23
2050;Médio;Não;3349.29;25.95;Divorciado;Empresário;0;20
2051;Médio;Não;9445.5;28.14;Solteiro;Professor;3;2
2052;Pós-Graduação;Não;9609.31;19.54;Casado;Estudante;0;25
2053;Pós-Graduação;Sim;9631.48;54.1;Casado;Estudante;0;13
2054;Pós-Graduação;Sim;7039.92;29.86;Viúvo;Médico;0;19
2055;Médio;Sim;7465.13;64.18;Divorciado;Médico;3;19
2056;Fundamental;Sim;2796.38;67.89;Casado;Estudante;1;27
2057;Fundamental;Não;7422.28;39.76;Viúvo;Médico;2;26
2058;Pós-Graduação;Sim;1088.41;20.97;Casado;Outros;2;9
2059;Superior;Sim;7100.53;56.84;Casado;Advogado;0;8
2060;Pós-Graduação;Não;6064.78;66.72;Solteiro;Estudante;2;18
2061;Fundamental;Sim;8391.64;42.03;Divorciado;Médico;3;18
2062;Fundamental;Não;4858.39;46.15;Viúvo;Engenheiro;0;14
2063;Superior;Não;7541.02;39.45;Casado;Médico;3;14
2064;Fundamental;Sim;3934.1;70.78;Solteiro;Artista;3;1
2065;Pós-Graduação;Sim;1681.06;21.56;Divorciado;Empresário;1;27
2066;Médio;Sim;7498.73;73.25;Solteiro;Engenheiro;3;20
2067;Médio;Sim;7350.05;36.73;Viúvo;Engenheiro;1;7
2068;Médio;Não;2164.13;39.3;Viúvo;Empresário;0;14
2069;Médio;Não;6722.7;25.5;Casado;Estudante;3;2
